# 金融销售/违规营销类关键词配置文件
# 格式: 关键词|类别
# 以#开头的为注释行

# ========== 承诺收益类 ==========
基金产品|诱导投资
私募基金|诱导投资
信托产品|诱导投资
资产管理|诱导投资
投资计划|诱导投资
投资收益|诱导投资
投资顾问|诱导投资

# ========== 诈骗相关 ==========
荐股|诈骗相关
带单|诈骗相关
喊单|诈骗相关
内幕消息|诈骗相关
荐股服务|诈骗相关
股票指导|诈骗相关
投资指导|诈骗相关
老师带盘|诈骗相关
VIP会员|诈骗相关
专家指导|诈骗相关
内幕信息|诈骗相关
庄家|诈骗相关
建仓|诈骗相关
拉升|诈骗相关
出货|诈骗相关

# ========== 借贷违规类 ==========
无息贷款|借贷违规
免息贷款|借贷违规
信用贷款|借贷违规
网络贷款|借贷违规
现金贷|借贷违规
校园贷|借贷违规
砍头息|借贷违规
714高炮|借贷违规
套路贷|借贷违规
高利贷|借贷违规
小额贷款|借贷违规
快速放款|借贷违规
秒批|借贷违规
无抵押|借贷违规
信用变现|借贷违规

# ========== 保险违规类 ==========
保险理财|保险违规
分红险|保险违规
万能险|保险违规
投连险|保险违规
保险产品|保险违规
保险收益|保险违规
保险回报|保险违规

# ========== 促销优惠类 ==========
优惠券|促销优惠
优惠卷|促销优惠
折扣|促销优惠
打折|促销优惠
满减|促销优惠
满折|促销优惠
买赠|促销优惠
买送|促销优惠
赠送|促销优惠
返券|促销优惠
抵用|促销优惠
抵扣|促销优惠
红包|促销优惠
代金券|促销优惠
购物券|促销优惠
兑换码|促销优惠

# ========== 会员权益类 ==========
会员价|会员权益
会员专享|会员权益
会员特权|会员权益
会员日|会员权益
VIP价|会员权益
VIP专享|会员权益
SVIP|会员权益
钻石会员|会员权益
黄金会员|会员权益
专属价|会员权益
专属优惠|会员权益
专属服务|会员权益

# ========== 限时限量类 ==========
限量|限时限量
限时|限时限量
仅剩|限时限量
库存紧张|限时限量
即将售罄|限时限量
售罄|限时限量
名额有限|限时限量
名额紧张|限时限量
抢完即止|限时限量
先到先得|限时限量
配额有限|限时限量

# ========== 价格诱导类 ==========
原价|价格诱导
现价|价格诱导
活动价|价格诱导
促销价|价格诱导
秒杀价|价格诱导
团购价|价格诱导
批发价|价格诱导
代理价|价格诱导
拿货价|价格诱导
出厂价|价格诱导
成本价|价格诱导
内部价|价格诱导

# ========== 功效夸大类 ==========
最好|功效夸大
最强|功效夸大
第一|功效夸大
顶级|功效夸大
冠军|功效夸大
王牌|功效夸大
首选|功效夸大
全球第一|功效夸大
世界领先|功效夸大
世界顶级|功效夸大
行业领先|功效夸大
领先全球|功效夸大
独家|功效夸大
唯一|功效夸大
专卖|功效夸大

# ========== 购物引导类 ==========
立即购买|购物引导
马上购买|购物引导
立刻下单|购物引导
赶紧下单|购物引导
立即注册|购物引导
马上加入|购物引导
立即预约|购物引导
马上抢购|购物引导
立刻抢购|购物引导
下单|购物引导
购买|购物引导
订购|购物引导
抢购|购物引导
疯抢|购物引导
热卖|购物引导
爆款|购物引导
热销|购物引导
爆品|购物引导

# ========== 投资理财类 ==========
理财|投资理财
投资|投资理财
赚钱|投资理财
盈利|投资理财
增值|投资理财
财富|投资理财
资产配置|投资理财
财务自由|投资理财
睡后收入|投资理财
被动收入|投资理财
钱生钱|投资理财

# ========== 微商代理类 ==========
代理|微商代理
分销|微商代理
拿货|微商代理
一件代发|微商代理
囤货|微商代理
招商|微商代理
加盟|微商代理
合伙人|微商代理
联合创始人|微商代理
总代|微商代理
省代|微商代理
市代|微商代理
团队|微商代理
裂变|微商代理

# ========== 平台术语类 ==========
APP|平台术语
小程序|平台术语
公众号|平台术语
商城|平台术语
购物平台|平台术语
电商平台|平台术语
线上商城|平台术语
交易平台|平台术语
交易软件|平台术语
交易APP|平台术语
下载|平台术语
安装|平台术语
注册|平台术语
登录|平台术语
充值|平台术语
提现|平台术语
入金|平台术语
出金|平台术语

# ========== 客服售后类 ==========
客服|客服售后
售后|客服售后
服务热线|客服售后
咨询电话|客服售后
联系客服|客服售后
在线客服|客服售后
微信客服|客服售后
QQ客服|客服售后
官方微信|客服售后
官方QQ|客服售后
官方电话|客服售后
